,Year,Sharks_Year
65,2016,103
64,2015,139
63,2014,124
62,2013,122
61,2012,117
60,2011,128
59,2010,101
58,2009,120
57,2008,121
56,2007,112
55,2006,103
54,2005,103
53,2004,92
52,2003,92
51,2002,88
50,2001,92
49,2000,97
48,1999,65
47,1998,65
46,1997,57
45,1996,61
44,1995,76
43,1994,56
42,1993,56
41,1992,56
40,1991,38
39,1990,38
38,1989,53
37,1988,55
36,1987,35
35,1986,39
34,1985,37
33,1984,41
32,1983,49
31,1982,40
30,1981,49
29,1980,35
28,1979,25
27,1978,25
26,1977,26
25,1976,39
24,1975,49
23,1974,38
22,1973,27
21,1972,35
20,1971,28
19,1970,37
18,1969,29
17,1968,46
16,1967,48
15,1966,58
14,1965,50
13,1964,65
12,1963,61
11,1962,86
10,1961,78
9,1960,92
8,1959,93
7,1958,54
6,1957,41
5,1956,49
4,1955,43
3,1954,42
2,1953,36
1,1952,29
0,1951,31
