Fatal (Y/N),Country,Sharks_attacks_country
N,USA,1626
N,AUSTRALIA,598
N,SOUTH AFRICA,369
N,BAHAMAS,76
N,NEW ZEALAND,67
N,PAPUA NEW GUINEA,65
N,BRAZIL,59
N,MEXICO,31
N,ITALY,30
N,NEW CALEDONIA,29
N,REUNION,29
N,FIJI,26
N,MOZAMBIQUE,21
N,EGYPT,19
N,FRENCH POLYNESIA,18
N,SPAIN,18
N,JAPAN,17
N,TONGA,12
N,CUBA,10
N,MARSHALL ISLANDS,10
N,PHILIPPINES,10
N,VIETNAM,10
N,BERMUDA,8
N,ECUADOR,8
N,ENGLAND,8
N,PANAMA,8
N,COLUMBIA,7
N,HONG KONG,7
N,IRAN,7
N,PACIFIC OCEAN,7
N,UNITED KINGDOM,7
N,ATLANTIC OCEAN,6
N,SENEGAL,6
N,SOLOMON ISLANDS,6
N,TAIWAN,6
N,VENEZUELA,6
N,GREECE,5
N,INDONESIA,5
N,JAMAICA,5
N,MAURITIUS,5
N,PALAU,5
N,CHILE,4
N,CROATIA,4
N,FRANCE,4
N,NORTH ATLANTIC OCEAN,4
N,RUSSIA,4
N,SCOTLAND,4
N,SRI LANKA,4
N,AZORES,3
N,CANADA,3
N,CARIBBEAN SEA,3
N,INDIA,3
N,IRAQ,3
N,MADAGASCAR,3
N,MALAYSIA,3
N,MICRONESIA,3
N,MID ATLANTIC OCEAN,3
N,NORTH PACIFIC OCEAN,3
N,TURKEY,3
N,TURKS & CAICOS,3
N,UNITED ARAB EMIRATES,3
N,VANUATU,3
N,CAYMAN ISLANDS,2
N,CHINA,2
N,COSTA RICA,2
N,DOMINICAN REPUBLIC,2
N,GUAM,2
N,ISRAEL,2
N,JOHNSTON ISLAND,2
N,KENYA,2
N,MALTA,2
N,NEW BRITAIN,2
N,NEW GUINEA,2
N,SAMOA,2
N,SEYCHELLES,2
N,SOUTH KOREA,2
N,ST. MARTIN,2
N,SUDAN,2
N,THAILAND,2
N,ADMIRALTY ISLANDS,1
N,ANGOLA,1
N,ANTIGUA,1
N,ARGENTINA,1
N,BELIZE,1
N,BRITISH ISLES,1
N,BRITISH WEST INDIES,1
N,CAPE VERDE,1
N,EGYPT / ISRAEL,1
N,EL SALVADOR,1
N,FEDERATED STATES OF MICRONESIA,1
N,GRAND CAYMAN,1
N,GRENADA,1
N,HONDURAS,1
N,KIRIBATI,1
N,MARTINIQUE,1
N,NAMIBIA,1
N,NETHERLANDS ANTILLES,1
N,NICARAGUA,1
N,NIGERIA,1
N,NORTH SEA,1
N,NORTHERN ARABIAN SEA,1
N,NORWAY,1
N,PALESTINIAN TERRITORIES,1
N,PERSIAN GULF,1
N,PUERTO RICO,1
N,RED SEA,1
N,SAUDI ARABIA,1
N,SINGAPORE,1
N,SOMALIA,1
N,SOUTH CHINA SEA,1
N,TANZANIA,1
N,TRINIDAD & TOBAGO,1
N,TUNISIA,1
N,URUGUAY,1
UNKNOWN,USA,18
UNKNOWN,AUSTRALIA,15
UNKNOWN,ITALY,4
UNKNOWN,CROATIA,3
UNKNOWN,BRAZIL,2
UNKNOWN,NEW ZEALAND,2
UNKNOWN,BERMUDA,1
UNKNOWN,DOMINICAN REPUBLIC,1
UNKNOWN,FIJI,1
UNKNOWN,ISRAEL,1
UNKNOWN,MOZAMBIQUE,1
UNKNOWN,PAPUA NEW GUINEA,1
UNKNOWN,SENEGAL,1
UNKNOWN,SOLOMON ISLANDS,1
UNKNOWN,SOUTH AFRICA,1
UNKNOWN,THAILAND,1
UNKNOWN,TUNISIA,1
UNKNOWN,TURKEY,1
UNKNOWN,VANUATU,1
Y,USA,127
Y,AUSTRALIA,118
Y,SOUTH AFRICA,80
Y,PAPUA NEW GUINEA,44
Y,BRAZIL,34
Y,MEXICO,28
Y,REUNION,24
Y,PHILIPPINES,21
Y,HONG KONG,16
Y,MOZAMBIQUE,16
Y,FIJI,15
Y,NEW CALEDONIA,15
Y,JAPAN,10
Y,NEW ZEALAND,9
Y,BAHAMAS,7
Y,EGYPT,7
Y,ITALY,7
Y,SOLOMON ISLANDS,7
Y,VANUATU,7
Y,CROATIA,6
Y,SOUTH KOREA,6
Y,TANZANIA,6
Y,COSTA RICA,5
Y,GREECE,5
Y,PANAMA,5
Y,SOMALIA,5
Y,DOMINICAN REPUBLIC,4
Y,INDONESIA,4
Y,JAMAICA,4
Y,KENYA,4
Y,NEW BRITAIN,4
Y,OKINAWA,4
Y,AMERICAN SAMOA,3
Y,CHILE,3
Y,CUBA,3
Y,GRENADA,3
Y,IRAN,3
Y,SEYCHELLES,3
Y,TAIWAN,3
Y,THAILAND,3
Y,TONGA,3
Y,BERMUDA,2
Y,CARIBBEAN SEA,2
Y,COLUMBIA,2
Y,EL SALVADOR,2
Y,GUAM,2
Y,INDIA,2
Y,LIBERIA,2
Y,MADAGASCAR,2
Y,MONTENEGRO,2
Y,NEW GUINEA,2
Y,PORTUGAL,2
Y,SENEGAL,2
Y,TURKS & CAICOS,2
Y,UNITED KINGDOM,2
Y,VENEZUELA,2
Y,YEMEN,2
Y,ANDAMAN / NICOBAR ISLANDAS,1
Y,ARUBA,1
Y,ATLANTIC OCEAN,1
Y,BANGLADESH,1
Y,BELIZE,1
Y,BRITISH VIRGIN ISLANDS,1
Y,DIEGO GARCIA,1
Y,GABON,1
Y,GUATEMALA,1
Y,GULF OF ADEN,1
Y,INDIAN OCEAN,1
Y,IRAQ,1
Y,MALAYSIA,1
Y,MALDIVE ISLANDS,1
Y,MALTA,1
Y,MAURITIUS,1
Y,MAYOTTE,1
Y,MID ATLANTIC OCEAN,1
Y,NEVIS,1
Y,NORTH PACIFIC OCEAN,1
Y,PACIFIC OCEAN,1
Y,PERSIAN GULF,1
Y,RED SEA / INDIAN OCEAN,1
Y,SINGAPORE,1
Y,SOUTH ATLANTIC OCEAN,1
Y,SOUTH PACIFIC OCEAN,1
Y,SRI LANKA,1
Y,SUDAN,1
Y,Seychelles,1
Y,Sierra Leone,1
Y,THE BALKANS,1
Y,TRINIDAD & TOBAGO,1
Y,TURKEY,1
Y,WESTERN SAMOA,1
