Month,Activity,Sharks_attacks
Apr,Surfing,96
Apr,Fishing&Hunting,58
Apr,Swimming,49
Apr,Other Water Sports,38
Apr,UnKnown,30
Apr,Bathing,18
Apr,Accidents or natural disasters,12
Apr,Random activities,6
Apr,Shark related activities,3
Apr,Walking,3
Aug,Surfing,107
Aug,Fishing&Hunting,87
Aug,Other Water Sports,76
Aug,Swimming,66
Aug,Bathing,50
Aug,UnKnown,26
Aug,Accidents or natural disasters,15
Aug,Shark related activities,5
Aug,Random activities,3
Aug,Walking,3
Aug,Stranger things,2
Aug,Boating,1
Dec,Fishing&Hunting,71
Dec,Surfing,66
Dec,Other Water Sports,53
Dec,Swimming,45
Dec,UnKnown,29
Dec,Bathing,17
Dec,Accidents or natural disasters,13
Dec,Shark related activities,3
Dec,Boating,1
Dec,Random activities,1
Dec,Stranger things,1
Feb,Fishing&Hunting,63
Feb,Surfing,61
Feb,Other Water Sports,45
Feb,Swimming,40
Feb,UnKnown,22
Feb,Bathing,13
Feb,Accidents or natural disasters,10
Feb,Boating,3
Feb,Random activities,3
Feb,Shark related activities,3
Feb,Walking,1
Jan,Fishing&Hunting,134
Jan,Surfing,92
Jan,Other Water Sports,74
Jan,Swimming,66
Jan,UnKnown,52
Jan,Bathing,32
Jan,Accidents or natural disasters,20
Jan,Random activities,12
Jan,Shark related activities,7
Jan,Boating,4
Jan,Stranger things,4
Jan,Walking,1
Jul,Surfing,118
Jul,Swimming,80
Jul,Fishing&Hunting,76
Jul,Other Water Sports,74
Jul,Bathing,48
Jul,UnKnown,37
Jul,Accidents or natural disasters,24
Jul,Shark related activities,5
Jul,Boating,2
Jul,Random activities,2
Jul,Stranger things,1
Jul,Walking,1
Jun,Surfing,84
Jun,Swimming,72
Jun,Other Water Sports,64
Jun,Fishing&Hunting,57
Jun,Bathing,37
Jun,UnKnown,21
Jun,Accidents or natural disasters,12
Jun,Shark related activities,5
Jun,Stranger things,5
Jun,Random activities,4
Jun,Boating,2
Jun,Walking,1
Mar,Surfing,88
Mar,Fishing&Hunting,48
Mar,Other Water Sports,47
Mar,Swimming,33
Mar,UnKnown,24
Mar,Bathing,19
Mar,Accidents or natural disasters,17
Mar,Boating,3
Mar,Shark related activities,3
Mar,Stranger things,2
Mar,Random activities,1
May,Surfing,71
May,Other Water Sports,57
May,Fishing&Hunting,50
May,Swimming,30
May,Bathing,23
May,UnKnown,20
May,Accidents or natural disasters,13
May,Shark related activities,7
May,Random activities,2
May,Walking,2
May,Boating,1
Nov,Surfing,84
Nov,Fishing&Hunting,48
Nov,Other Water Sports,45
Nov,Swimming,32
Nov,Accidents or natural disasters,20
Nov,UnKnown,20
Nov,Bathing,14
Nov,Random activities,3
Nov,Walking,2
Nov,Boating,1
Nov,Shark related activities,1
Oct,Surfing,137
Oct,Other Water Sports,69
Oct,Fishing&Hunting,39
Oct,Swimming,26
Oct,Bathing,20
Oct,UnKnown,17
Oct,Accidents or natural disasters,12
Oct,Shark related activities,3
Oct,Boating,2
Oct,Random activities,2
Sep,Surfing,138
Sep,Swimming,65
Sep,Other Water Sports,64
Sep,Fishing&Hunting,61
Sep,Bathing,30
Sep,UnKnown,24
Sep,Accidents or natural disasters,19
Sep,Boating,2
Sep,Random activities,2
Sep,Shark related activities,2
Sep,Walking,2
